open_time_ms,open,high,low,close,volume,open_time_iso
1754768100000,4249.0,4250.68,4247.01,4247.63,15567.54,2025-08-09T19:35:00+00:00
1754768160000,4247.63,4250.67,4244.2,4250.67,16709.9,2025-08-09T19:36:00+00:00
1754768160000,4247.63,4250.67,4244.2,4250.67,16709.9,2025-08-09T19:36:00+00:00
1754768220000,4250.66,4254.19,4247.36,4252.05,44858.26,2025-08-09T19:37:00+00:00
1754768220000,4250.66,4254.19,4247.36,4252.05,44858.26,2025-08-09T19:37:00+00:00
1754768220000,4250.66,4254.19,4247.36,4252.05,44858.26,2025-08-09T19:37:00+00:00
1754768280000,4252.05,4256.28,4249.05,4251.19,35244.25,2025-08-09T19:38:00+00:00
1754768280000,4252.05,4256.28,4249.05,4251.19,35244.25,2025-08-09T19:38:00+00:00
1754768280000,4252.05,4256.28,4249.05,4251.19,35244.25,2025-08-09T19:38:00+00:00
1754768280000,4252.05,4256.28,4249.05,4251.19,35244.25,2025-08-09T19:38:00+00:00
1754768340000,4251.19,4253.0,4248.57,4249.36,16138.14,2025-08-09T19:39:00+00:00
1754768340000,4251.19,4253.0,4248.57,4249.36,16138.14,2025-08-09T19:39:00+00:00
1754768340000,4251.19,4253.0,4248.57,4249.36,16138.14,2025-08-09T19:39:00+00:00
1754768340000,4251.19,4253.0,4248.57,4249.36,16138.14,2025-08-09T19:39:00+00:00
1754768340000,4251.19,4253.0,4248.57,4249.36,16138.14,2025-08-09T19:39:00+00:00
1754768400000,4249.39,4252.98,4248.59,4252.97,6125.26,2025-08-09T19:40:00+00:00
1754768400000,4249.39,4252.98,4248.59,4252.97,6125.26,2025-08-09T19:40:00+00:00
1754768400000,4249.39,4252.98,4248.59,4252.97,6125.26,2025-08-09T19:40:00+00:00
1754768400000,4249.39,4252.98,4248.59,4252.97,6125.26,2025-08-09T19:40:00+00:00
1754768400000,4249.39,4252.98,4248.59,4252.97,6125.26,2025-08-09T19:40:00+00:00
1754768400000,4249.39,4252.98,4248.59,4252.97,6125.26,2025-08-09T19:40:00+00:00
1754768460000,4252.98,4254.89,4252.87,4254.75,6840.22,2025-08-09T19:41:00+00:00
1754768460000,4252.98,4254.89,4252.87,4254.75,6840.22,2025-08-09T19:41:00+00:00
1754768460000,4252.98,4254.89,4252.87,4254.75,6840.22,2025-08-09T19:41:00+00:00
1754768460000,4252.98,4254.89,4252.87,4254.75,6840.22,2025-08-09T19:41:00+00:00
1754768460000,4252.98,4254.89,4252.87,4254.75,6840.22,2025-08-09T19:41:00+00:00
1754768460000,4252.98,4254.89,4252.87,4254.75,6840.22,2025-08-09T19:41:00+00:00
1754768460000,4252.98,4254.89,4252.87,4254.75,6840.22,2025-08-09T19:41:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768520000,4254.75,4268.73,4254.74,4258.23,259997.4,2025-08-09T19:42:00+00:00
1754768580000,4258.22,4266.0,4258.01,4263.71,53666.66,2025-08-09T19:43:00+00:00
